Question,Solution,,,,,,,,
"23. A circular disc of mass 10 kg is suspended by a wire attached to its centre. The wire is twisted by rotating the disc and released. The period of torsional oscillations is found to be 1.5 s. The radius of the disc is 15 cm. Determine the torsional spring constant of the wire. (Torsional spring constant α is defined by the relation J = –α θ, where J is the restoring couple and θ the angle of twist).","Mass of the circular disc = 10 kg
Period of torsional oscillation = 1.5 s
Radius of the disc = 15 cm = 0.15 m
Restoring couple, J = –α θ
Moment of inertia, I = (1/2) mR2
= (1/2) x 10 x (0.15)2
= 0.1125 kgm2
Time period is given by the relation
So, \(\begin{array}{l}\alpha =\frac{4\pi^{2}I }{T^{2}}\end{array} \)
\(\begin{array}{l}\alpha = \frac{4\times (3.14)^{2}\times 0.1125}{(1.5)^{2}}\end{array} \)
= 4.44/2.25
= 1.97 Nm/rad",,,,,,,,
24. A body describes simple harmonic motion with an amplitude of 5 cm and a period of 0.2 s. Find the acceleration and velocity of the body when the displacement is (a) 5 cm (b) 3 cm (c) 0 cm.,"Amplitude = 5 cm = 0.05 m
Time period = 0.2 s
When the displacement is y, then
acceleration, A = -ω2y
Velocity, \(\begin{array}{l}v = \omega \sqrt{r^{2}-y^{2}}\end{array} \)

ω = 2π/T
= 2π/0.2 = 10π rad/s
(a) When the displacement y = 5 cm = 0.05 m
Acceleration, A = – (10π)2(0.05) = 5π2 m/s2
Velocity, \(\begin{array}{l}V = 10\pi \sqrt{(0.05)^{2}-(0.05)^{2}}=0\end{array} \)

(b) When the displacement y = 3 cm = 0.03 m
Acceleration, A = – (10π)2(0.03) = 3π2 m/s2
Velocity, \(\begin{array}{l}V = 10\pi \sqrt{(0.05)^{2}-(0.03)^{2}}=10\pi \times 0.04 = 0.4\pi m/s\end{array} \)

(c) When the displacement y = 0
Acceleration, A =  – (10π)2(0) = 0
Velocity, \(\begin{array}{l}V = 10\pi \sqrt{(0.05)^{2}-(0)^{2}}=10\pi \times 0.05 = 0.5\pi m/s\end{array} \)
",,,,,,,,
"25. A mass attached to a spring is free to oscillate, with angular velocity ω, in a horizontal plane without friction or damping. It is pulled to a distance x0 and pushed towards the centre with a velocity v0 at time t = 0. Determine the amplitude of the resulting oscillations in terms of the parameters ω, x0 and v0. [Hint: Start with the equation x = a cos (ωt+θ) and note that the initial velocity is negative.]","The angular velocity of the spring = ω
x = a cos (ωt+θ)
At t = 0, x = x0
Substituting these values in the above equation we get
x0 = A cos θ —–(1)
Velocity, v= dx/dt = – Aω sin (ωt+θ)
At t = 0, v = – v0
Substituting these values in the above equation we get
– v0 = – Aω sin θ
Asin θ =  v0/ω———-(2)
Squaring and adding (1) and (2) we get
\(\begin{array}{l}A^{2}(cos^{2}\theta+sin^{2}\theta )=x_{0}^{2}+\frac{v_{0}^{2}}{\omega ^{2}}\end{array} \)
\(\begin{array}{l}A=\sqrt{x_{0}^{2}+\frac{v_{0}^{2}}{\omega^{2}}}\end{array} \)",,,,,,,,
"Q1. A string of mass 2.50 kg is under a tension of 200 N. The length of the stretched string is 20.0 m. If the transverse jerk is struck at one end of the string, how long does the disturbance take to reach the other end?","Given,
Mass of the string, M = 2.50 kg
Tension in the string, T = 200 N
Length of the string, l = 20.0 m
Mass per unit length, μ = M /l = 5/40 = 0.125 kg / m
We know,
Velocity  of the transverse wave , v = \(\begin{array}{l}\sqrt{\frac{T}{\mu }}\end{array} \)
= \(\begin{array}{l}\sqrt{\frac{200}{0.125 }}\end{array} \) = 40 m/s
Therefore, the time taken by the transverse wave to reach the other side is 40 m/s.",,,,,,,,
"Q2. A stone dropped from the top of a tower of height 300 m splashes into the water of a pond near the base of the tower. When is the splash heard at the top, given that the speed of sound in air is 340 m s^–1? (g = 9.8 m s^–2)","Given,
Height of the bridge, s = 300 m
The initial velocity of the stone, u = 0
Acceleration, a = g = 9.8 m/s^2
Speed of sound in air = 340 m/s
Let t be the time taken by the stone to hit the water’s surface
We know,
s = ut + 0.5 gt2
300 = 0 + 0.5 x 9.8 x t^2
Therefore, t = 7.82 s
The time taken by the sound to reach the bridge, t’= 300/340 = 0.88 s
Therefore, from the moment the stone is released from the bridge, the sound of it splashing the water is heard after = t +t’ = 7.82 s + 0.88 s = 8.7s.",,,,,,,,
Q3. Steel wire has a length of 12.0 m and a mass of 2.10 kg. What should be the tension in the wire so that the speed of a transverse wave on the wire equals the speed of sound in dry air at 20 °C = 343 m s^–1.,"Given,
Length of the steel wire, l = 12 m
Mass of the steel wire, m = 2.0 kg
Velocity of the transverse wave, v = 343 m/s
Mass per unit length, μ = M /l = 2.10/12 = 0.175 kg / m
We know,
Velocity of the transverse wave , v = \(\begin{array}{l}\sqrt{\frac{T}{\mu }}\end{array} \)
Therefore, T = v^2 μ
= 343^2 x 0.175 = 2.06 x 10^4 N
Therefore, the tension in the wire is 343^2 x 0.175 = 2.06 x 10^4 N.",,,,,,,,
"Q4. Using the formula v = \(\begin{array}{l}\sqrt{\frac{\gamma P}{\rho }}\end{array} \), explain why the speed of sound in air
(a) does not depend upon pressure.
(b) increases with temperature and humidity.
(c) increases with humidity.","Given,
v = \(\begin{array}{l}\sqrt{\frac{\gamma P}{\rho }}\end{array} \)
We know,
PV = nRT ( for n moles of ideal gas )
PV = RT (m/M )
Where, m is the total mass, and M is the molecular mass of the gas.
Therefore, P  = m (RT/M)
P = \(\begin{array}{l}\frac{\rho RT}{M}\end{array} \)
\(\begin{array}{l}\frac{P}{\rho} = \frac{ RT}{M}\end{array} \)
(a) For a gas at a constant temperature,\(\begin{array}{l}\frac{P}{\rho}\end{array} \) = constant
Thus, as P increases ρ and vice versa. This means that the P/ρ ratio always remains constant, meaning
v = \(\begin{array}{l}\sqrt{\frac{\gamma P}{\rho }}\end{array} \)
= constant, i.e. velocity of sound does not depend upon the pressure of the gas.
(b) Since, \(\begin{array}{l}\frac{P}{\rho} = \frac{ RT}{M}\end{array} \)
v = \(\begin{array}{l}\sqrt{\frac{\gamma P}{\rho }}\end{array} \) = v = \(\begin{array}{l}\sqrt{\frac{\gamma RT}{M }}\end{array} \)
We can see that v \(\begin{array}{l}\propto \sqrt{T}\end{array} \), i.e. speed of sound increases with temperature.
(c) When humidity increases, the effective density of the air decrease. This means \(\begin{array}{l}v \propto \frac{1}{\sqrt{\rho }}\end{array} \), thus velocity increases.",,,,,,,,
"Q5.We know that the function y = f (x, t) represents a wave travelling in one direction, where x and t must appear in the combination x + vt or x– vt or, i.e. y = f (x ± vt). Is the converse true?
Can the following functions for y possibly represent a travelling wave:
(i) (x – vt) 2
(ii) log [ ( x + vt)/ x0 ]
(iii) 1 / (x + vt )","No, the converse is not true because it is necessary for a wave function representing a travelling wave to have a finite value for all values of x and t.
As none of the above functions satisfies the given condition, none of the options represents a travelling wave.",,,,,,,,
"Q6.  A bat emits the ultrasonic sound of frequency 1000 kHz in air. If the sound meets a water surface, what is the wavelength of (a) the reflected sound and (b) the transmitted sound? The speed of sound in air is 340 m s^–1, and in water, 1486 m s^–1.","Given,
Frequency of the ultrasonic sound, ν = 1000 kHz = 10^6 Hz
Speed of sound in air, vA = 340 m/s
We know,
(a) The wavelength ( λR ) of the reflected sound is:
λR = vA /v
= 340/10^6 = 3.4 x 10^-4 m
(b) Speed of sound in water, vW = 1486 m/s
Therefore, the wavelength (λT )of the transmitted sound is:
λT = 1486 / 10^6
= 1.49 x 10^-3 m.",,,,,,,,
"Q7. An ultrasonic scanner operating at 4.2 MHz is used to locate tumours in tissues. If the speed of sound is 2 km/s in a certain tissue, calculate the wavelength of sound in this tissue.","Given,
Speed of sound in the tissue, vT = 2 km/s = 2 × 10^3 m/s
Operating frequency of the scanner, ν = 4.2 MHz = 4.2 × 10^6 Hz
Therefore, the wavelength of sound:
λ = vT / v
= (2 × 10^3)/ (4.2 × 10^6)
= 4.76 x 10^-4 m.",,,,,,,,
"Q8. A transverse harmonic wave on a wire is expressed as:
y( x, t ) = 3 sin ( 36t +0.018x +π/4 ).
(i) Is it a stationary wave or a travelling one?
(ii) If it is a travelling wave, give the speed and direction of its propagation.
(iii) Find its frequency and amplitude.
(iv) Give the initial phase at the origin.
(v) Calculate the smallest distance between two adjacent crests in the wave.
[X and y are in cm and t in seconds. Assume the left to the right direction as the positive direction of x]","Given,
y(x, t) =3 sin (36t +0.018x + π/4)                 . . . . . . . . .  . . ( 1 )
(i) We know the equation of a progressive wave travelling from right to left is:
y (x, t) = a sin (ωt + kx + Φ)         . . . . . . . . . . . . . . . . . . .  ( 2 )
Comparing equation (1) to equation (2), we see that it represents a wave travelling from right to left and also we get:
a = 3 cm,  ω = 36 rad/s , k = 0.018 cm and ϕ = π/4.
(ii) Therefore, the speed of propagation, v = ω/k = 36/ 0.018 = 20 m/s.
(iii) Amplitude of the wave, a = 3 cm
Frequency of the wave v = ω / 2π
= 36 /2π = 5.7 hz.
(iv) Initial phase at the origin = π/4
(v) The smallest  distance between two adjacent crests in the wave, λ = 2π/ k = 2π / 0.018
= 349 cm.",,,,,,,,
"Q10. A travelling harmonic wave is given as: y (x, t) = 2.0 cos 2π (10t – 0.0080x + 0.35).
What is the  phase difference between the oscillatory motion of two points separated by a distance of:
(i) 8 m
(ii) 1 m
(iii) λ /2
(iv) 6λ/4
[ X and y are in cm, and t is in secs ].","Given,
The equation for a travelling harmonic wave:
y (x, t) = 2.0 cos 2π (10t – 0.0080x + 0.35)
= 2.0 cos (20πt – 0.016πx + 0.70 π)
Where,
Propagation constant, k = 0.0160 π
Amplitude, a = 2 cm
Angular frequency, ω= 20 π rad/s
We know,
Phase difference Φ = kx = 2π/ λ
(i) For x = 8 m = 800 cm
Φ = 0.016 π × 800 = 12.8 π rad.
(ii) For x =  1 m = 100 cm
Φ = 0.016 π × 100 = 1.6 π rad.
(iii) For x = λ /2
Φ = (2π/ λ)  x  ( λ/2) =  π rad.
(iv) For x = 6λ /4
Φ = (2π/ λ)  x  ( 6λ/4) = 3 π rad.",,,,,,,,
"Q11. The transverse displacement of a wire (clamped at both its ends) is described as:
y (x, t) = \(\begin{array}{l}0.06sin(\frac{2\pi}{3}x)cos(120\pi t)\end{array} \)
The mass of the wire is 6 x 10-2 kg, and its length is 3m.
Provide answers to the following questions:
(i) Is the function describing a stationary wave or a travelling wave?
(ii) Interpret the wave as a superposition of two waves travelling in opposite directions. Find the speed, wavelength and frequency of each wave.
(iii) Calculate the wire’s tension.
[X and y are in meters and t in secs]","We know,
The standard equation of a stationary wave is described as:
y (x, t) = 2a sin kx cos ωt
The given equation y (x, t) =\(\begin{array}{l}0.06sin(\frac{2\pi}{3}x)cos(120\pi t)\end{array} \) is similar to the general equation.
(i) Thus, the given function describes a stationary wave.
(ii) We know a wave travelling in the positive x-direction can be represented as:
y1 = a sin( ωt – kx )
Also,
A wave travelling in the negative x-direction is represented as:
y2 = a sin( ωt + kx )
Super-positioning these two waves gives:
y = y1 + y2
= a sin( ωt – kx ) – a sin( ωt + kx )
= asin(ωt)cos(kx) – asin(kx)cos(ωt) – asin(ωt)cos(kx) – asin(kx)cos(ωt)
= – 2asin(kx)cos(ωt)
= \(\begin{array}{l}-2asin(\frac{2\pi }{\lambda }x)cos(2\pi vt)\end{array} \) . . . . . . . . . . . . . . ( 1 )
The transverse displacement of the wires is described as:
\(\begin{array}{l}0.06sin(\frac{2\pi}{3}x)cos(120\pi t)\end{array} \)             . . . . . . . . . . . . . . . . .( 2 )
Comparing equations ( 1 ) and ( 2 ), we get
2π/ λ = 2π/ 3
Therefore, wavelength  λ = 3m
Also, 2πv/λ = 120π
Therefore, speed v = 180 m/s
And, Frequency = v/λ = 180/3
= 60 Hz
(iii)Given,
The velocity of the transverse wave, v = 180 m / s
The string’s mass, m = 6 × 10^-2 kg
String length, l = 3 m
Mass per unit length of the string, μ = m/l = (6 x 10^-2 )/3
= 2 x 10^-2 kg/m
Let the tension in the wire be T
Therefore, T = v^2 μ
= 180^2 x 2 x 10^-2
= 648 N.",,,,,,,,
"Q13. Given below are functions of x and t to describe the displacement (longitudinal or transverse) of an elastic wave. Identify the ones describing  (a) a stationary wave, (b) a travelling wave and (c) neither of the two:
(i) y = 3 sin( 5x – 0.5t ) + 4cos( 5x – 0.5t )
(ii) y = cosx sint + cos2x sin2t.
(iii) y = 2 cos (3x) sin (10t)
(iv) y = \(\begin{array}{l}2\sqrt{x – vt}\end{array} \)","(i) This equation describes a travelling wave, as the harmonic terms ωt and kx, are in the combination of kx – ωt.
(ii) This equation describes a stationary wave because the harmonic terms ωt and kx appear separately in the equation. In fact, this equation describes the superposition of two stationary waves.
(iii) This equation describes a stationary wave because the harmonic terms ωt and kx appear separately.
(iv) This equation does not contain any harmonic term. Thus, it is neither a travelling wave nor a stationary wave.",,,,,,,,
"Q14. A string clamped at both ends is stretched out, it is then made to vibrate in its fundamental mode at a frequency of 45 Hz. The linear mass density of the string is 4.0 × 10^-2 kg/ m, and its mass is 2 × 10^-2 kg. Calculate:
(i) The velocity of a transverse wave on the string
(ii) The tension in the string","Given,
Mass of the string, m = 2 x 10^-2 kg
Linear density of the string = 4 x 10^-2 kg
Frequency, vF = 45 Hz
We know the length of the wire = m/µ
= (2 x 10^-2)/ (4 x 10^-2) = 0.5 m
We know, λ = 2l/n
Where, n = number of nodes in the wire.
For the fundamental node, n =1
=> λ = 2l
= 2 x 0.5 = 1m
(i) Therefore, the speed of the transverse wave, v = λ vF
= 1 x 45 = 45 m/s.
(ii) Tension in the string = µ v^2
= 4 x10^-2 x 45 = 81",,,,,,,,
"Q17. One end of A 20 cm long tube is closed. Find the harmonic mode of the tube that will be resonantly excited by a source of frequency 430 Hz. If both ends are open, can the same source still produce resonance in the tube? (Sound travels in air at 340 m /s).","Given,
Length of the pipe, l = 20 cm = 0.2 m
Frequency of the source = nth
the normal mode of frequency, νN = 430 Hz
Speed of sound, v = 340 ms^-1
We know that in a closed pipe, the nth normal mode of frequency vN  = ( 2n -1 )v/4l
where n is an integer = 0, 1, 2, 3, 4, . . . . .
430 = ( 2n – 1 )( 340/4 x0.2)
2n = 2.01
n ≈ 1
Thus, the given source resonantly excites the first mode of vibration frequency
Now, for a pipe open at both ends, the nth mode of vibration frequency:
VR = nv/2l
n = VR 2l/v
n = (2 x 0.2 x 430)/340 = 0.5
As the mode of vibration (n) has to be an integer, this source is not in resonance with the tube.",,,,,,,,
"Q18. Guitar strings X and Y striking the note ‘Ga’ are a little out of tune and give beats at 6 Hz. When the string X is slightly loosened, and the beat frequency becomes 3 Hz. Given that the original frequency of X is 324 Hz, find the frequency of Y.","Given,
Frequency of  X, fX = 324 Hz
Frequency of  Y = fY
Beat’s frequency, n = 6 Hz
Also,
n = \(\begin{array}{l}\left | f_{X}\pm f_{Y} \right |\end{array} \)
6 = \(\begin{array}{l}324 \pm f_{Y}\end{array} \)
=> fY = 330 Hz or 318 Hz
As frequency drops with a decrease in tension in the string, thus fY cannot be 330 Hz
=> fY = 318 Hz.",,,,,,,,
